DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-06-04,EQ,342.0,385.7,339.2,342.05,380.05,380.6,365.53,385.7,144.45,28390440,10377647366.95,203836,RELINFRA
2025-06-03,EQ,359.0,359.0,337.0,356.85,341.5,342.05,343.57,359.0,144.45,17684059,6075663848.75,145295,RELINFRA
2025-06-02,EQ,332.0,359.0,329.65,330.5,357.95,356.85,346.38,359.0,144.45,27523498,9533521684.15,221141,RELINFRA
2025-05-30,EQ,314.0,347.55,311.1,313.1,328.55,330.5,331.6,351.0,144.45,29015364,9621565678.2,220988,RELINFRA
2025-05-29,EQ,310.65,321.0,308.9,308.3,313.15,313.1,315.3,351.0,144.45,7975244,2514626264.25,78091,RELINFRA
2025-05-28,EQ,309.0,312.0,304.25,306.8,308.5,308.3,307.78,351.0,144.45,6369651,1960473056.6,53192,RELINFRA
2025-05-27,EQ,296.7,310.0,288.6,293.55,307.0,306.8,302.05,351.0,144.45,13059582,3944589729.95,98842,RELINFRA
2025-05-26,EQ,306.9,308.9,287.0,305.45,293.65,293.55,295.7,351.0,144.45,13975946,4132689806.15,111030,RELINFRA
2025-05-23,EQ,288.0,313.0,282.45,283.4,307.5,305.45,300.61,351.0,144.45,22406660,6735562523.5,174821,RELINFRA
2025-05-22,EQ,275.1,286.0,275.0,276.15,284.0,283.4,281.69,351.0,144.45,4750110,1338074773.3,43334,RELINFRA
2025-05-21,EQ,275.5,279.0,272.75,274.65,276.75,276.15,275.82,351.0,144.45,2339631,645326312.65,24923,RELINFRA
2025-05-20,EQ,281.8,284.0,272.75,279.5,275.0,274.65,278.84,351.0,144.45,4193967,1169441339.0,42542,RELINFRA
2025-05-19,EQ,279.95,284.8,277.4,279.5,278.5,279.5,281.41,351.0,144.45,4023006,1132126892.1,31866,RELINFRA
2025-05-16,EQ,273.0,282.0,268.6,272.05,278.4,279.5,276.2,351.0,144.45,6293367,1738249169.85,53820,RELINFRA
2025-05-15,EQ,272.65,275.0,269.35,271.65,271.45,272.05,272.84,351.0,144.45,2588744,706313857.35,25550,RELINFRA
2025-05-14,EQ,267.0,272.4,264.7,265.05,271.85,271.65,269.69,351.0,144.45,3336343,899790511.1,29041,RELINFRA
2025-05-13,EQ,256.9,268.0,256.35,255.35,265.9,265.05,263.43,351.0,144.45,3885608,1023568987.1,40257,RELINFRA
2025-05-12,EQ,246.9,263.0,245.6,234.6,256.9,255.35,256.14,351.0,144.45,6915665,1771371445.9,56476,RELINFRA
2025-05-09,EQ,226.1,236.2,225.7,233.6,235.85,234.6,230.11,351.0,144.45,2926843,673494309.1,28263,RELINFRA
2025-05-08,EQ,241.0,244.6,230.95,240.5,232.0,233.6,238.4,351.0,144.45,2153890,513477372.25,23487,RELINFRA
2025-05-07,EQ,233.0,242.0,233.0,236.35,239.5,240.5,239.24,351.0,144.45,2890404,691494051.1,31907,RELINFRA
2025-05-06,EQ,257.3,258.7,235.2,256.4,236.4,236.35,244.38,351.0,144.45,3577289,874212917.3,51462,RELINFRA
2025-05-05,EQ,252.3,258.1,250.85,250.55,256.95,256.4,255.03,351.0,144.45,2046500,521920709.4,23114,RELINFRA
2025-05-02,EQ,255.1,259.8,249.95,254.55,250.55,250.55,254.54,351.0,144.45,2523350,642289802.05,28751,RELINFRA
2025-04-30,EQ,256.95,264.75,252.25,256.7,254.0,254.55,259.33,351.0,144.45,4164437,1079970075.15,45849,RELINFRA
2025-04-29,EQ,257.0,264.8,255.3,255.3,256.7,256.7,260.49,351.0,144.45,3892641,1013975670.55,33772,RELINFRA
2025-04-28,EQ,256.05,262.0,253.9,256.9,256.2,255.3,257.69,351.0,144.45,3235297,833700512.5,31602,RELINFRA
2025-04-25,EQ,270.0,270.95,250.1,269.1,256.2,256.9,258.07,351.0,144.45,7229576,1865756917.65,66890,RELINFRA
2025-04-24,EQ,264.6,275.8,264.3,266.25,269.0,269.1,270.95,351.0,144.45,5022103,1360751662.0,47798,RELINFRA
2025-04-23,EQ,268.45,270.75,262.85,266.55,266.7,266.25,266.42,351.0,144.45,2863738,762954531.25,29374,RELINFRA
2025-04-22,EQ,271.9,274.2,265.2,271.25,265.95,266.55,269.77,351.0,144.45,3896492,1051155411.95,35714,RELINFRA
2025-04-21,EQ,265.6,272.7,262.3,262.3,270.55,271.25,268.89,351.0,144.45,6601989,1775196435.5,50245,RELINFRA
2025-04-17,EQ,253.0,264.7,252.4,253.2,262.8,262.3,258.29,351.0,144.45,6690709,1728163449.0,45718,RELINFRA
2025-04-16,EQ,255.6,259.75,252.05,255.0,252.4,253.2,255.84,351.0,144.45,3056385,781944864.8,27680,RELINFRA
2025-04-15,EQ,252.8,259.15,251.85,250.15,255.1,255.0,255.89,351.0,144.45,2960127,757455921.85,32798,RELINFRA
2025-04-11,EQ,248.05,252.6,246.0,243.75,249.15,250.15,249.38,351.0,144.45,3490607,870473956.1,31782,RELINFRA
2025-04-09,EQ,243.5,257.7,238.75,245.35,242.8,243.75,246.54,351.0,144.45,4833606,1191686895.7,52159,RELINFRA
2025-04-08,EQ,248.0,251.45,241.65,241.5,245.55,245.35,245.88,351.0,144.45,2361484,580642687.2,26132,RELINFRA
2025-04-07,EQ,222.0,244.8,218.6,250.35,242.6,241.5,233.86,351.0,144.45,5876332,1374230505.25,57625,RELINFRA
